,no_bathroom,condition,district,price,no_rooms,ref,estate_type,area,altitude,energy_efficiency,longitude,area_total,area_usage
1165,,Usado,Santa Maria Maior,2625000.0,,257190247,Prédio,Chiado - Carmo,-9.1361634,C,38.7113522,350.0,350.0
1166,1.0,Usado,Misericórdia,199000.0,2.0,257190249,Apartamento,Chiado - Bairro Alto,-9.1490905,C,38.7111501,66.0,66.0
1167,2.0,Usado,Misericórdia,525000.0,4.0,257190250,Apartamento,Chiado - São Bento,-9.1490905,D,38.7111501,100.0,100.0
1168,1.0,Usado,Estrela,299000.0,2.0,257190251,Apartamento,Lapa - Madragoa,-9.1590861,E,38.7100523,48.0,48.0
1169,1.0,Novo,Estrela,210000.0,1.0,257190254,Apartamento,Lapa - Madragoa,-9.1590861,C,38.7100523,42.0,42.0
1170,1.0,Usado,Estrela,267000.0,2.0,257190255,Apartamento,Lapa - Madragoa,-9.1590861,E,38.7100523,68.0,68.0
1171,1.0,Usado,Estrela,320000.0,1.0,257190256,Apartamento,Lapa,-9.1590861,E,38.7100523,68.0,68.0
1174,2.0,Novo,Estrela,499000.0,2.0,257190261,Apartamento,Lapa,-9.1590861,E,38.7100523,100.0,100.0
1175,1.0,Usado,Misericórdia,279000.0,1.0,257190263,Apartamento,Chiado - Bairro Alto,-9.1490905,C,38.7111501,48.0,48.0
1176,1.0,Novo,Misericórdia,279000.0,1.0,257190264,Apartamento,Chiado - Bairro Alto,-9.1490905,C,38.7111501,54.0,54.0
1177,3.0,Usado,Estrela,499000.0,,257190268,Escritório,Lapa - Infante Santo,-9.1590861,A,38.7100523,220.0,220.0
1179,1.0,Usado,Estrela,375000.0,,257190275,Loja,Lapa,-9.1590861,C,38.7100523,120.0,120.0
1180,1.0,Usado,Misericórdia,379000.0,1.0,257190276,Apartamento,Chiado - Bairro Alto,-9.1490905,B,38.7111501,60.0,60.0
1181,,N/D,Misericórdia,529000.0,,257190279,Terreno,Chiado,-9.1490905,,38.7111501,256.0,256.0
1182,1.0,Usado,Misericórdia,240000.0,1.0,257190280,Apartamento,Chiado - Bairro Alto,-9.1490905,E,38.7111501,35.0,35.0
1183,1.0,Usado,Misericórdia,288000.0,0.0,257190281,Apartamento,Chiado - São Bento,-9.1490905,C,38.7111501,43.0,43.0
1184,1.0,Usado,Estrela,130000.0,0.0,257190289,Apartamento,Lapa - Janelas Verdes,-9.1590861,E,38.7100523,20.0,20.0
1185,1.0,Novo,Misericórdia,225000.0,0.0,257190291,Apartamento,Chiado - São Paulo,-9.1490905,,38.7111501,33.0,33.0
1186,2.0,Usado,Estrela,800000.0,4.0,257190294,Apartamento,Lapa,-9.1590861,D,38.7100523,120.0,120.0
1187,,Novo,Estrela,177500.0,,257190296,Garagem,Lapa,-9.1590861,,38.7100523,25.0,25.0
1188,1.0,Usado,Misericórdia,180000.0,2.0,257190297,Apartamento,Chiado - Bica,-9.1490905,E,38.7111501,50.0,50.0
1189,2.0,Novo,Estrela,525000.0,2.0,257190298,Apartamento,Lapa - 24 de Julho,-9.1590861,E,38.7100523,110.0,110.0
1190,2.0,Usado,Misericórdia,895000.0,3.0,257190300,Apartamento,Chiado - Bairro Alto,-9.1490905,C,38.7111501,126.0,126.0
1191,1.0,Usado,Santa Maria Maior,350000.0,5.0,257190302,Apartamento,Chiado,-9.1361634,F,38.7113522,138.0,138.0
1192,1.0,Usado,Misericórdia,175000.0,0.0,257190304,Apartamento,Chiado - Santa Catarina,-9.1490905,D,38.7111501,43.0,43.0
1193,1.0,Construção,Estrela,250000.0,0.0,257190310,Apartamento,Lapa - Janelas Verdes,-9.1590861,E,38.7100523,50.0,50.0
1194,1.0,Usado,Estrela,385000.0,4.0,257190315,Apartamento,Lapa - 24 de Julho,-9.1590861,F,38.7100523,120.0,120.0
1195,4.0,Usado,Misericórdia,385500.0,4.0,257190316,Apartamento,Chiado,-9.1490905,D,38.7111501,110.0,110.0
1196,2.0,Novo,Misericórdia,300000.0,2.0,257190317,Apartamento,Chiado - São Bento,-9.1490905,E,38.7111501,58.0,58.0
1197,1.0,Usado,Misericórdia,250000.0,1.0,257190318,Apartamento,Chiado - Bica,-9.1490905,,38.7111501,43.0,43.0
1198,1.0,Usado,Misericórdia,300000.0,2.0,257190321,Apartamento,Chiado,-9.1490905,E,38.7111501,60.0,60.0
1199,1.0,Usado,Misericórdia,350000.0,1.0,257200001,Apartamento,Chiado,-9.1490905,,38.7111501,72.0,72.0
1203,4.0,Usado,Santo António,620000.0,3.0,258170025,Apartamento,,-9.1418613,,38.7206333,180.0,170.0
1204,2.0,Construção,Misericórdia,320000.0,2.0,258170045,Moradia,Príncipe Real,-9.1490905,F,38.7111501,76.0,45.0
1207,2.0,Usado,Avenidas Novas,450000.0,3.0,258170053,Apartamento,Sete Rios / Bairro Azul,-9.1471513,C,38.7410926,120.0,94.0
1219,2.0,Usado,Campolide,550000.0,2.0,258180029,Apartamento,Sete Rios / Bairro Azul,-9.1636276245,B,38.7263671412,120.0,84.0
1227,2.0,Usado,Misericórdia,399000.0,2.0,258180056,Triplex,Príncipe Real,-9.1490905,D,38.7111501,78.5,71.0
1230,,Usado,Santo António,115000.0,,258180060,Loja,Av. da Liberdade,-9.1418613,C,38.7206333,47.0,
1235,1.0,Usado,Santo António,250000.0,1.0,258180069,Apartamento,Av. da Liberdade,-9.1418613,D,38.7206333,55.0,
1237,1.0,Usado,Campo de Ourique,380000.0,2.0,258190003,Apartamento,Lapa/ Estrela,-9.1679303,B,38.7154897,76.0,68.0
1239,4.0,Novo,Santo António,1185000.0,3.0,258190011,Duplex,Marquês de Pombal,-9.1418613,C,38.7206333,250.0,180.0
1246,,Usado,Misericórdia,749000.0,,258190027,Prédio,Príncipe Real,-9.1490905,D,38.7111501,360.0,360.0
1250,2.0,Novo,Avenidas Novas,655000.0,2.0,258190036,Apartamento,Marquês de Pombal,-9.1471513,B,38.7410926,104.1,104.0
1251,3.0,Novo,Avenidas Novas,1100000.0,3.0,258190037,Apartamento,Marquês de Pombal,-9.1471513,B,38.7410926,175.59,175.0
1252,2.0,Novo,Avenidas Novas,682000.0,2.0,258190038,Apartamento,Marquês de Pombal,-9.1471513,B,38.7410926,108.4,108.0
1253,2.0,Novo,Avenidas Novas,715000.0,2.0,258190039,Apartamento,Marquês de Pombal,-9.1471513,B,38.7410926,113.7,113.0
1266,4.0,Novo,Avenidas Novas,1390000.0,3.0,265150225,Apartamento,Avenidas Novas,-9.1471513,,38.7410926,300.0,280.0
1267,3.0,Usado,Marvila,160000.0,,265160085,Loja,Marvila,-9.10697937005432,,38.7418332673775,232.0,232.0
1268,4.0,Usado,Avenidas Novas,1500000.0,3.0,265160143,Duplex,Avenidas Novas,-9.1471513,C,38.7410926,430.0,380.0
1271,,Usado,Avenidas Novas,850000.0,,265170100,Prédio,Avenidas Novas,-9.1471513,D,38.7410926,248.0,246.0
1272,,Usado,Areeiro,600000.0,,265170145,Loja,,-9.1407589,,38.7451578,610.0,425.0
1273,1.0,Usado,Areeiro,590000.0,,265180011,Armazém,Campo Pequeno,-9.1407589,F,38.7451578,758.0,682.0
